Trigger Value,Faults,Manual Interventions
0,FB1[0].0 ~ ,MB1[0].0 ~ 
1,FB1[0].1 ~ 03P37B/075 ROLLER BED OVERLOAD FAULT,MB1[0].1 ~ 
2,FB1[0].2 ~ ,MB1[0].2 ~ 03P37B/075 PANEL POWER OR COMMS OFF FAULT
3,FB1[0].3 ~ 03P37B/075 ROLLER BED TIME-OUT FAULT,MB1[0].3 ~ 
4,FB1[0].4 ~ 03P38B/076 ROLLER BED OVERLOAD FAULT,MB1[0].4 ~ 
5,FB1[0].5 ~ 03P38B/076 PANEL POWER OR COMMS OFF FAULT,MB1[0].5 ~ 
6,FB1[0].6 ~ 03P38B/076 ROLLER BED TIME-OUT FAULT,MB1[0].6 ~ 
7,FB1[0].7 ~ 03P37B/077 INTERMEDIATE ROLLER OVERLOAD FAULT,MB1[0].7 ~ 
8,FB1[0].8 ~ 03P37C/078 BUFFER BELT OVERLOAD FAULT,MB1[0].8 ~ 
9,FB1[0].9 ~ 03P37C/078 BUFFER BELT XFER TIME-OUT  FAULT,MB1[0].9 ~ 
10,FB1[0].10 ~ ,MB1[0].10 ~ 03P37C/078 BUFFER BELT START/STOP OPERATED FAULT
11,FB1[0].11 ~ 03P37C/079 ROLLER BED OVERLOAD FAULT,MB1[0].11 ~ 
12,FB1[0].12 ~ ,MB1[0].12 ~ 03P37C/079 PANEL POWER OR COMMS OFF FAULT
13,FB1[0].13 ~ 03P37C/079 ROLLER BED SKID TROUBLE FAULT,MB1[0].13 ~ 
14,FB1[0].14 ~ 03P37B/080 INTERMEDIATE ROLLER OVERLOAD FAULT,MB1[0].14 ~ 
15,FB1[0].15 ~ 03P37D/081 BUFFER BELT OVERLOAD FAULT,MB1[0].15 ~ 
16,FB1[0].16 ~ ,MB1[0].16 ~ 
17,FB1[0].17 ~ ,MB1[0].17 ~ 
18,FB1[0].18 ~ ,MB1[0].18 ~ 
19,FB1[0].19 ~ ,MB1[0].19 ~ 
20,FB1[0].20 ~ ,MB1[0].20 ~ 
21,FB1[0].21 ~ ,MB1[0].21 ~ 
22,FB1[0].22 ~ ,MB1[0].22 ~ 
23,FB1[0].23 ~ ,MB1[0].23 ~ 
24,FB1[0].24 ~ ,MB1[0].24 ~ 
25,FB1[0].25 ~ ,MB1[0].25 ~ 
26,FB1[0].26 ~ ,MB1[0].26 ~ 
27,FB1[0].27 ~ ,MB1[0].27 ~ 
28,FB1[0].28 ~ ,MB1[0].28 ~ 
29,FB1[0].29 ~ ,MB1[0].29 ~ 
30,FB1[0].30 ~ ,MB1[0].30 ~ 
31,FB1[0].31 ~ ,MB1[0].31 ~ 
32,FB1[1].0 ~ 03P37D/081 BUFFER BELT XFER TIME-OUT  FAULT,MB1[1].0 ~ 
33,FB1[1].1 ~ ,MB1[1].1 ~ 03P37D/081 BUFFER BELT START/STOP OPERATED FAULT
34,FB1[1].2 ~ 03P37D/082 ROLLER BED OVERLOAD FAULT,MB1[1].2 ~ 
35,FB1[1].3 ~ ,MB1[1].3 ~ 03P37D/082 PANEL POWER OR COMMS OR COMMS OFF FAULT
36,FB1[1].4 ~ 03P37D/082 ROLLER BED SKID TROUBLE FAULT,MB1[1].4 ~ 
37,FB1[1].5 ~ 03P38B/083 INTERMEDIATE ROLLER OVERLOAD FAULT,MB1[1].5 ~ 
38,FB1[1].6 ~ 03P38C/084 BUFFER BELT OVERLOAD FAULT,MB1[1].6 ~ 
39,FB1[1].7 ~ 03P38C/084 BUFFER BELT XFER TIME-OUT  FAULT,MB1[1].7 ~ 
40,FB1[1].8 ~ ,MB1[1].8 ~ 03P38C/084 BUFFER BELT START/STOP OPERATED FAULT
41,FB1[1].9 ~ 03P38C/085 ROLLER BED OVERLOAD FAULT,MB1[1].9 ~ 
42,FB1[1].10 ~ ,MB1[1].10 ~ 03P38C/085 PANEL POWER OR COMMS OFF FAULT
43,FB1[1].11 ~ 03P38C/085 ROLLER BED SKID TROUBLE FAULT,MB1[1].11 ~ 
44,FB1[1].12 ~ 03P38B/086 INTERMEDIATE ROLLER OVERLOAD FAULT,MB1[1].12 ~ 
45,FB1[1].13 ~ 03P38D/087 BUFFER BELT OVERLOAD FAULT,MB1[1].13 ~ 
46,FB1[1].14 ~ 03P38D/087 BUFFER BELT XFER TIME-OUT  FAULT,MB1[1].14 ~ 
47,FB1[1].15 ~ ,MB1[1].15 ~ 03P38D/087 BUFFER BELT START/STOP OPERATED FAULT
48,FB1[1].16 ~ ,MB1[1].16 ~ 
49,FB1[1].17 ~ ,MB1[1].17 ~ 
50,FB1[1].18 ~ ,MB1[1].18 ~ 
51,FB1[1].19 ~ ,MB1[1].19 ~ 
52,FB1[1].20 ~ ,MB1[1].20 ~ 
53,FB1[1].21 ~ ,MB1[1].21 ~ 
54,FB1[1].22 ~ ,MB1[1].22 ~ 
55,FB1[1].23 ~ ,MB1[1].23 ~ 
56,FB1[1].24 ~ ,MB1[1].24 ~ 
57,FB1[1].25 ~ ,MB1[1].25 ~ 
58,FB1[1].26 ~ ,MB1[1].26 ~ 
59,FB1[1].27 ~ ,MB1[1].27 ~ 
60,FB1[1].28 ~ ,MB1[1].28 ~ 
61,FB1[1].29 ~ ,MB1[1].29 ~ 
62,FB1[1].30 ~ ,MB1[1].30 ~ 
63,FB1[1].31 ~ ,MB1[1].31 ~ 
64,FB1[2].0 ~ 03P38D/088 ROLLER BED OVERLOAD FAULT,MB1[2].0 ~ 
65,FB1[2].1 ~ ,MB1[2].1 ~ 03P38D/088 PANEL POWER OR COMMS OFF FAULT
66,FB1[2].2 ~ 03P38D/088 ROLLER BED SKID TROUBLE FAULT,MB1[2].2 ~ 
67,FB1[2].3 ~ 03P046/095 Q-CHAIN OVERLOAD FAULT,MB1[2].3 ~ 
68,FB1[2].4 ~ ,MB1[2].4 ~ 03P046/095 PANEL POWER OR COMMS OFF FAULT
69,FB1[2].5 ~ ,MB1[2].5 ~ 
70,FB1[2].6 ~ ,MB1[2].6 ~ 03P046/095 Q-CHAIN START/STOPPUSHBUTTONFAULT
71,FB1[2].7 ~ 03P046/096 ROLLER BED OVERLOAD FAULT,MB1[2].7 ~ 
72,FB1[2].8 ~ 03P046/096 ROLLER BED TIME-OUT FAULT,MB1[2].8 ~ 
73,FB1[2].9 ~ 03P046/097 ROLLER BED OVERLOAD FAULT,MB1[2].9 ~ 
74,FB1[2].10 ~ 03P046/097 ROLLER BED TIME-OUT FAULT,MB1[2].10 ~ 
75,FB1[2].11 ~ 03P046/098 ROLLER BED OVERLOAD FAULT,MB1[2].11 ~ 
76,FB1[2].12 ~ 03P046/098 ROLLER BED TIME-OUT FAULT,MB1[2].12 ~ 
