New Fault Map Bit,Tag Name,Description,,Asset,Used,New Manual Intervention Map Bit,Tag Name,Description,,Asset,Used,New Warning Map Bit,Tag Name,Description,Asset,Used,,,,Tag,Word,Bit
,FB1[0].0,,FB1[0].0 ~ ,,,,MB1[0].0,,MB1[0].0 ~ ,,,,WB1[0].0,,,,,,,WB1,0,0
,FB1[0].1,03P37B/075 ROLLER BED OVERLOAD FAULT,FB1[0].1 ~ 03P37B/075 ROLLER BED OVERLOAD FAULT,2,X,,MB1[0].1,,MB1[0].1 ~ ,,,,WB1[0].1,,,,,,,WB1,0,1
,FB1[0].2,,FB1[0].2 ~ ,,,,MB1[0].2,03P37B/075 PANEL POWER OR COMMS OFF FAULT,MB1[0].2 ~ 03P37B/075 PANEL POWER OR COMMS OFF FAULT,2,X,,WB1[0].2,,,,,,,WB1,0,2
,FB1[0].3,03P37B/075 ROLLER BED TIME-OUT FAULT,FB1[0].3 ~ 03P37B/075 ROLLER BED TIME-OUT FAULT,2,X,,MB1[0].3,,MB1[0].3 ~ ,,,,WB1[0].3,,,,,,,WB1,0,3
,FB1[0].4,03P38B/076 ROLLER BED OVERLOAD FAULT,FB1[0].4 ~ 03P38B/076 ROLLER BED OVERLOAD FAULT,1,X,,MB1[0].4,,MB1[0].4 ~ ,,,,WB1[0].4,,,,,,,WB1,0,4
,FB1[0].5,03P38B/076 PANEL POWER OR COMMS OFF FAULT,FB1[0].5 ~ 03P38B/076 PANEL POWER OR COMMS OFF FAULT,1,X,,MB1[0].5,,MB1[0].5 ~ ,,,,WB1[0].5,,,,,,,WB1,0,5
,FB1[0].6,03P38B/076 ROLLER BED TIME-OUT FAULT,FB1[0].6 ~ 03P38B/076 ROLLER BED TIME-OUT FAULT,1,X,,MB1[0].6,,MB1[0].6 ~ ,,,,WB1[0].6,,,,,,,WB1,0,6
,FB1[0].7,03P37B/077 INTERMEDIATE ROLLER OVERLOAD FAULT,FB1[0].7 ~ 03P37B/077 INTERMEDIATE ROLLER OVERLOAD FAULT,3,X,,MB1[0].7,,MB1[0].7 ~ ,,,,WB1[0].7,,,,,,,WB1,0,7
,FB1[0].8,03P37C/078 BUFFER BELT OVERLOAD FAULT,FB1[0].8 ~ 03P37C/078 BUFFER BELT OVERLOAD FAULT,3,X,,MB1[0].8,,MB1[0].8 ~ ,,,,WB1[0].8,,,,,,,WB1,0,8
,FB1[0].9,03P37C/078 BUFFER BELT XFER TIME-OUT  FAULT,FB1[0].9 ~ 03P37C/078 BUFFER BELT XFER TIME-OUT  FAULT,3,X,,MB1[0].9,,MB1[0].9 ~ ,,,,WB1[0].9,,,,,,,WB1,0,9
,FB1[0].10,,FB1[0].10 ~ ,,,,MB1[0].10,03P37C/078 BUFFER BELT START/STOP OPERATED FAULT,MB1[0].10 ~ 03P37C/078 BUFFER BELT START/STOP OPERATED FAULT,3,X,,WB1[0].10,,,,,,,WB1,0,10
,FB1[0].11,03P37C/079 ROLLER BED OVERLOAD FAULT,FB1[0].11 ~ 03P37C/079 ROLLER BED OVERLOAD FAULT,3,X,,MB1[0].11,,MB1[0].11 ~ ,,,,WB1[0].11,,,,,,,WB1,0,11
,FB1[0].12,,FB1[0].12 ~ ,,,,MB1[0].12,03P37C/079 PANEL POWER OR COMMS OFF FAULT,MB1[0].12 ~ 03P37C/079 PANEL POWER OR COMMS OFF FAULT,3,X,,WB1[0].12,,,,,,,WB1,0,12
,FB1[0].13,03P37C/079 ROLLER BED SKID TROUBLE FAULT,FB1[0].13 ~ 03P37C/079 ROLLER BED SKID TROUBLE FAULT,3,X,,MB1[0].13,,MB1[0].13 ~ ,,,,WB1[0].13,,,,,,,WB1,0,13
,FB1[0].14,03P37B/080 INTERMEDIATE ROLLER OVERLOAD FAULT,FB1[0].14 ~ 03P37B/080 INTERMEDIATE ROLLER OVERLOAD FAULT,3,X,,MB1[0].14,,MB1[0].14 ~ ,,,,WB1[0].14,,,,,,,WB1,0,14
,FB1[0].15,03P37D/081 BUFFER BELT OVERLOAD FAULT,FB1[0].15 ~ 03P37D/081 BUFFER BELT OVERLOAD FAULT,3,X,,MB1[0].15,,MB1[0].15 ~ ,,,,WB1[0].15,,,,,,,WB1,0,15
,FB1[0].16,,FB1[0].16 ~ ,,,,MB1[0].16,,MB1[0].16 ~ ,,,,WB1[0].16,,,,,,,WB1,0,16
,FB1[0].17,,FB1[0].17 ~ ,,,,MB1[0].17,,MB1[0].17 ~ ,,,,WB1[0].17,,,,,,,WB1,0,17
,FB1[0].18,,FB1[0].18 ~ ,,,,MB1[0].18,,MB1[0].18 ~ ,,,,WB1[0].18,,,,,,,WB1,0,18
,FB1[0].19,,FB1[0].19 ~ ,,,,MB1[0].19,,MB1[0].19 ~ ,,,,WB1[0].19,,,,,,,WB1,0,19
,FB1[0].20,,FB1[0].20 ~ ,,,,MB1[0].20,,MB1[0].20 ~ ,,,,WB1[0].20,,,,,,,WB1,0,20
,FB1[0].21,,FB1[0].21 ~ ,,,,MB1[0].21,,MB1[0].21 ~ ,,,,WB1[0].21,,,,,,,WB1,0,21
,FB1[0].22,,FB1[0].22 ~ ,,,,MB1[0].22,,MB1[0].22 ~ ,,,,WB1[0].22,,,,,,,WB1,0,22
,FB1[0].23,,FB1[0].23 ~ ,,,,MB1[0].23,,MB1[0].23 ~ ,,,,WB1[0].23,,,,,,,WB1,0,23
,FB1[0].24,,FB1[0].24 ~ ,,,,MB1[0].24,,MB1[0].24 ~ ,,,,WB1[0].24,,,,,,,WB1,0,24
,FB1[0].25,,FB1[0].25 ~ ,,,,MB1[0].25,,MB1[0].25 ~ ,,,,WB1[0].25,,,,,,,WB1,0,25
